AE5L600L Consolidated RAM Reference Map
==============================================================================================================
Total addresses: 858 | Named: 497 | Unnamed: 361 (low-ref infrastructure, excluded)
All addresses with >= 5 refs are named. Top 200 most-referenced: 100% coverage.
Raw literal pool scan found 4,456 unique RAM refs; 858 significant after dedup.
Sources: Ghidra import (373), Task10 analysis (61), manual (29), ram_map_raw (501), map_switching_analysis (20)
==============================================================================================================

TOP 200 MOST-REFERENCED RAM ADDRESSES
--------------------------------------------------------------------------------------------------------------
   Refs  Address     Name                                 Description
     32  0xFFFF69F0  iat_input_float                      32 refs. Intake air temperature (float, -40..120 C). Read by AFL, startup enrichment. GBR base
     32  0xFFFF7C9D  fuel_state_byte                      32 refs. Fuel state byte/flag.
     32  0xFFFF9058  sched_state_A                        32 refs. Scheduler state variable A.
     32  0xFFFFACE0  diag_output_buffer                   32 refs. Diagnostic output buffer pointer.
     30  0xFFFF81F0  knock_learning_value                 30 refs. Knock learning value (task50). Was knock_state_base.
     30  0xFFFF9094  sched_task_GBR                       36 refs. Scheduler task GBR base (6 GBR uses).
     29  0xFFFF64D8  throttle_raw                         29 refs. Throttle raw ADC or secondary throttle.
     26  0xFFFF87E4  timing_correction_A                  26 refs. Timing correction value A.
     25  0xFFFF3674  timer_counter_C                      25 refs. Timer/counter C.
     25  0xFFFF367C  timer_counter_B                      25 refs. Timer/counter B.
     25  0xFFFF43FC  sensor_misc_state                    25 refs. Misc sensor state.
     25  0xFFFF7E90  task50_gbr_base                      GBR base for task50 timing blend. Was warmup_corr_cyl0.
     23  0xFFFF2004  system_init_flags                    23 refs. System initialization flags.
     23  0xFFFF5FFC  io_state_register                    23 refs. I/O state register.
     23  0xFFFF65A9  engine_state_extended                Engine state extended byte. Read by task58 extended MAF
     22  0xFFFF34D8  cal_mirror_data                      Calibration mirror data area
     22  0xFFFF5D14  ssm_output_workspace                 SSM diagnostic output workspace struct. Written by ssm_
     22  0xFFFF6228  maf_voltage                          22 refs. MAF sensor voltage (float). Read by timing, fu
     22  0xFFFF6810  ol_condition_selector                OL condition selector byte (1-5). Selects ROM threshold
     22  0xFFFF682C  adc_processed_misc                   ADC processed miscellaneous sensor value
     22  0xFFFF71EA  fuel_timing_state                    Fuel timing state variable
     22  0xFFFF8080  knock_flkc_workspace                 Knock/FLKC workspace area
     22  0xFFFF9FC6  sched_timer_base                     22 refs. Scheduler timer base. GBR base (3 uses).
     21  0xFFFF83A5  idle_sensor_ref                      Idle control sensor comparison reference (passed to 0x4
     21  0xFFFFAD50  diag_session_state_B                 Diagnostic session state variable B
     20  0xFFFF233C  timer_config_block                   Timer configuration block (16 bytes). Injection timing 
     20  0xFFFF4144  ect_output_fmac                      ECT output (degrees C, float). ADC pipeline ADDR29 -> FMAC call_08.
     20  0xFFFF62DC  fuel_rate                            20 refs. Fuel injection rate (float). Read by timing, b
     20  0xFFFF65BF  accel_state                          Acceleration state flag (task50 map switching). Was warmup_transition_flag_B.
     20  0xFFFF7F08  ignition_timing_workspace            Ignition timing workspace variable (float). Multiple re
     20  0xFFFF837E  idle_control_GBR                     39 refs. Idle control GBR base (19 GBR uses). Primary G
     20  0xFFFF8A74  knock_flkc_state                     Knock/FLKC state variable
     19  0xFFFF365C  cal_mirror_timer                     Calibration mirror timer/counter
     19  0xFFFF40C8  cam_angle_sensor                     Actual cam position from CMP/CKP (float, degrees).
     19  0xFFFF6430  adc_processed_secondary              ADC processed secondary sensor value
     19  0xFFFF653C  o2_sensor_voltage                    19 refs. O2 sensor voltage or lambda value.
     19  0xFFFF77C8  afc_output                           19 refs. AFC output value. Referenced in fuel_correctio
     19  0xFFFF7D68  throttle_delta_pos                   19 refs. Positive throttle rate of change (float). Used by accel enrichment.
     19  0xFFFF83AC  idle_workspace_GBR                   26 refs. Secondary idle GBR workspace (7 GBR uses).
     19  0xFFFF9070  scheduler_state_B                    Scheduler state variable B
     18  0xFFFF3158  afl_diagnostic_flag                  AFL state / diagnostic flag. Checked by fueling pipelin
     18  0xFFFF5E40  sensor_data_misc                     Sensor data miscellaneous
     18  0xFFFF7E68  fuel_timing_corr                     Fuel timing correction variable
     18  0xFFFF8366  fuel_pump_workspace                  Fuel pump state machine (14-byte struct). Was knock_workspace_B (misidentified).
     18  0xFFFF8391  knock_workspace_C                    Knock/FLKC workspace variable C
     18  0xFFFFB6E1  stack_guard_byte                     Stack area guard byte / canary
     17  0xFFFF20F4  system_config_timer_A                System config/timer variable A. System state cluster.
     17  0xFFFF2AB4  system_state_descriptor              System state descriptor variable. Descriptor region.                                  
     17  0xFFFF36C0  cal_mirror_state                     Calibration mirror state variable
     17  0xFFFF61AC  adc_processed_alt                    ADC processed alternate channel
     17  0xFFFF798C  timing_state_var                     17 refs. Timing state variable. Referenced by task35_ti
     17  0xFFFF8318  knock_state_var                      Knock state variable
     17  0xFFFF83AA  idle_workspace_var                   Idle workspace variable (near idle GBR base)
     17  0xFFFF8C9C  timing_workspace_A                   17 refs. Timing workspace variable.
     17  0xFFFF8E7E  afc_enable_flag_A                    PI output enable flag A (byte). Must == 1 for afc_pi_ou
     17  0xFFFF9FA8  sched_timer_B                        17 refs. Scheduler timer variable B.
     16  0xFFFF20D4  system_init_flags_B                  System initialization flags B. System state cluster.
     16  0xFFFF5FC0  sensor_io_state_secondary            Sensor I/O state secondary. Near io_state_register (0xFFFF5FFC).
     16  0xFFFF63B0  adc_processed_temperature_B          ADC processed temperature B (float). ECT/IAT sensor region.                                  
     16  0xFFFF63CC  ram_ECT                              Coolant temperature / ECT (float)
     16  0xFFFF8910  ignition_system_state                Ignition system state. Referenced in ignition timing an
     16  0xFFFF922C  scheduler_counter                    Scheduler counter variable
     16  0xFFFFA290  diag_monitor_state                   Diagnostic monitor state area
     15  0xFFFF20CC  system_state_flags_A                 System state flags A. System state cluster 0xFFFF20A0-0xFFFF227C.
     15  0xFFFF3420  cal_mirror_descriptor_ptr            Cal mirror descriptor pointer. Cal mirror region 0xFFFF341A-0xFFFF3612.
     15  0xFFFF5C98  peripheral_control_GBR               15 refs. Peripheral control GBR base (3 uses).
     15  0xFFFFA160  diag_monitor_GBR                     21 refs. Diagnostic monitor GBR base (6 GBR uses).
     15  0xFFFFA59D  diag_fault_enable_flags               Diagnostic fault enable/masking flags. Referenced by diag tasks.                                  
     14  0xFFFF5BE2  engine_condition_flags                Engine condition flags byte. Read by task10, task30, task38. Called "condition_flags" in ignition analysis.                                  
     14  0xFFFF7FBC  previous_timing_output               14 refs. Previous cycle timing output (task50). Was timing_final_advance.
     14  0xFFFF89E8  knock_sensor_state_B                 Knock sensor state variable B. Knock/FLKC cluster.                                  
     14  0xFFFFAD14  diag_state_E_start                   Active fault status region start. 62 bytes, 268 refs.
     14  0xFFFFAD1C  diag_active_fault_B                  Active fault status byte B. Part of diag_state_E (0xFFFFAD14-0xFFFFAD52, 268 refs).                                  
     13  0xFFFF837B  idle_dispatch_workspace              Main idle dispatcher state (GBR base). 39 fields, 129 accesses.                                  
     13  0xFFFF8387  knock_flkc_workspace                 Knock/FLKC post-retard state (GBR base). Adjacent to knock_workspace_B/C.                                  
     13  0xFFFF903C  sched_task_dispatch_state             Scheduler task dispatch state. Scheduler region.                                  
     13  0xFFFFA198  egr_diag_state                       13 refs. EGR/emissions diagnostic state. GBR base (3 us
     13  0xFFFFAC6C  diag_protocol_GBR                    13 refs. Diagnostic protocol GBR base (4 GBR uses).
     13  0xFFFFAF73  diag_fault_history_byte               Diagnostic fault history byte. Part of diag_state_A (0xFFFFAF70-0xFFFFAFAB).                                  
     12  0xFFFF3C80  cal_mirror_timer_workspace            Cal mirror timer workspace. Cal mirror timer region.
     12  0xFFFF6540  o2_sensor_conditioned                Conditioned O2 sensor value (float). Rate-limited ±0.02/cycle. AFC PI error input.
     12  0xFFFF90A8  timing_dispatch_state                Timing dispatch state. Read by task01, task10, task32. Called "timing_state" in ign analysis.
     12  0xFFFF9FE4  sched_timer_extended_B               Scheduler extended timer B. Scheduler timer cluster.
     12  0xFFFFAD18  diag_active_fault_C                  Active fault status byte C. diag_state_E array offset +0x04.
     12  0xFFFFAD20  diag_active_fault_D                  Active fault status byte D. diag_state_E array offset +0x0C.
     12  0xFFFFAD24  diag_active_fault_E                  Active fault status byte E. diag_state_E array offset +0x10.
     12  0xFFFFAD28  diag_active_fault_F                  Active fault status byte F. diag_state_E array offset +0x14.                                  
     11  0xFFFF5DB5  cl_ol_gate_flag                      CL/OL gate flag byte. Referenced in cl_ol_state_machine and clol_gap_closure.
     11  0xFFFF61FC  adc_processed_extra                  ADC processed extra channel (float). Near airflow_maf_current.
     11  0xFFFF7BE4  transient_fuel_comp                  Transient fuel compensation value (float). AFC working value. Read by task35.
     11  0xFFFF85E4  fuel_knock_state_var                 Fuel/knock state variable. Near fuel_system_state (0xFFFF85D7).                                  
     11  0xFFFF8998  sensor_struct_8998                   Sensor struct base (GBR at 0x52092).
     11  0xFFFF9FE0  sched_timer_extended_A               Scheduler extended timer A. Scheduler timer cluster.
     11  0xFFFFA163  diag_monitor_state_byte              Diagnostic monitor state byte. Adjacent to diag_monitor_GBR (+3).
     11  0xFFFFA26C  diag_trip_tracking_flags             Diagnostic trip tracking flags. Trip tracking region.                                  
     10  0xFFFF20C0  system_state_var_C                   System state variable C. System state cluster.
     10  0xFFFF65A2  engine_state_var_A                   Engine state variable A. Near engine_state_extended (0xFFFF65A9).
     10  0xFFFF7864  fuel_enrichment_state                Fuel enrichment state (float). Near fuel_enrichment_B (0xFFFF7878).
     10  0xFFFF7D04  fuel_timing_state_B                  Fuel/timing state variable B. Fuel/timing region.                                  
      9  0xFFFF3444  dtc_idle_enable_cond                  DTC idle control enable condition flag (byte). Cal mirror for P0506-P050A diagnostic preconditions.
      9  0xFFFF4254  afr_lambda_workspace                 O2/AFR lambda workspace (float). Task10 call_48 output for lambda ratio calculation.
      9  0xFFFF85DC  knock_fuel_interlock                  Knock/fuel interlock control byte. Between fuel_system_state and fuel_knock_state_var; gates knock-to-fuel feedback.
      9  0xFFFF8C98  timing_workspace_B                   Timing calculation workspace B (float). Adjacent to timing_workspace_A.
      9  0xFFFF8CE0  knock_timing_retard_base              Knock timing retard workspace base (struct, 116 bytes). Per-cylinder knock state machine.
      9  0xFFFF8EA8  sched_control_GBR                    14 refs. Scheduler control GBR base (5 GBR uses).
      9  0xFFFF8EDE  sensor_filter_workspace               O2 sensor rate-of-change filter workspace. CL entry validation via sub 0xC8E8.
      9  0xFFFFAB96  diag_counter_mps                     Diagnostic counter/threshold byte (MPS-related). DTC maturation cluster.
      8  0xFFFF24A8  desc_partial_copy                    Descriptor partial copy workspace (62 bytes, GBR base). Temp buffer for cal descriptor processing.
      8  0xFFFF425F  injection_state_flag                  Injection channel enable/disable state flag (byte). Checked by injection_state_machine at 0x9106.
      8  0xFFFF447B  maf_timer_counter                    MAF/intake sensor timer counter (byte). Task9 80ms prescaler reload via 0xCBAC.
      8  0xFFFF6598  adc_processed_temp                   ADC processed intermediate sensor value (float). Pipeline temp between raw ADC and engine state.
      8  0xFFFF91C4  sched_queue_base                     8 refs. Scheduler queue base. GBR base (3 uses).
      8  0xFFFF9FDF  sched_timer_state                    Scheduler timer state field (byte). RTOS task dispatch eligibility tracking.
      8  0xFFFFA6E8  diag_maturation_threshold             Diagnostic maturation threshold (word, GBR base). DTC qualification gate between state_D and AB76 regions.
      7  0xFFFF2EF4  desc_region_workspace_B               Descriptor region workspace B (GBR base). Descriptor queue/mirror operations.
      7  0xFFFF341C  cal_mirror_state_flags                Cal mirror state/control flags. Adjacent to cal_mirror_descriptor_ptr.
      7  0xFFFF3438  cal_mirror_queue_index                Cal mirror descriptor queue index. Cal mirror pipeline management.
      7  0xFFFF35E4  cal_mirror_lookup                    Cal mirror lookup workspace (GBR base). 26 fields, 40 accesses.                                  
      7  0xFFFF3682  cal_output_buffer                    Cal output buffer (GBR base). 22 fields, single caller 0x5B16C.                                  
      7  0xFFFF5FC2  io_peripheral_workspace               I/O peripheral workspace (56 bytes, GBR base, 18 fields). Sensor I/O operations.
      7  0xFFFF65AB  engine_state_ext_byte_B               Engine state extended byte B. Adjacent to engine_state_extended (+2).
      7  0xFFFF69FC  ect_input_float                      ECT input value for fuel/ignition lookups (float). Startup enrichment / fueling pipeline.
      7  0xFFFF7878  fuel_enrichment_B                    Fuel enrichment term B (float). Summed with A+C.
      7  0xFFFF81F8  knock_thresh_config                  Knock threshold config workspace (GBR base). Task04/10.                                  
      7  0xFFFF8CFC  timing_workspace_extended             Extended timing calculation workspace (float). Knock/timing intermediate result.
      7  0xFFFF8F08  cl_readiness_A_input                 CL readiness A input (byte). Copied to FFFF744C. When n
      7  0xFFFF980C  sched_periodic_GBR                   7 refs. Scheduler periodic timer GBR base (4 GBR uses).
      7  0xFFFF9FBC  sched_timer_extended_C                Scheduler timer extension C (GBR base). Adjacent to sched_timer_base cluster.
      7  0xFFFFA176  diag_maturation_counter               Diagnostic maturation counter byte (GBR base). DTC trip tracking / qualification.
      7  0xFFFFB6C8  stack_workspace_var                   Stack area workspace variable (long). Part of 28-byte stack canary cluster.
      6  0xFFFF20AC  system_init_counter_A                 System initialization counter/timer A. OL charge workspace cluster.
      6  0xFFFF20BC  system_init_counter_B                 System initialization counter/timer B. Before system_state_var_C.
      6  0xFFFF20C4  system_state_var_D                    System state variable D. Paired with system_state_var_C (+4).
      6  0xFFFF2F84  desc_table_mirror                     Descriptor table clone workspace (222 bytes, GBR base). ROM 0x88Exx processing.
      6  0xFFFF3718  cal_descriptor_queue                 Cal descriptor queue workspace (GBR base). 39 fields, 129 accesses.                                  
      6  0xFFFF3C70  cal_mirror_state_base                 Cal mirror state/control base. Precedes cal_mirror_timer_workspace.
      6  0xFFFF40AB  knock_cylinder_count                 Cylinder count dispatch byte for knock ADC Group 1 read
      6  0xFFFF5C75  sensor_peripheral_status              Sensor peripheral status byte. Near peripheral_control_GBR.
      6  0xFFFF6134  adc_conditioning_ws_A                ADC conditioning workspace A (GBR base). Near adc_channel_status.
      6  0xFFFF613C  adc_conditioning_ws_B                ADC conditioning workspace B (GBR base). Near adc_channel_status.
      6  0xFFFF8210  knock_window_state                   Knock window state workspace (GBR base). Task08.                                  
      6  0xFFFF8570  knock_flkc_event_flag                 Knock/FLKC interrupt or event flag. Knock processing region.
      6  0xFFFF8D04  ign_ext_counter_A                    Ignition extended workspace counter. Near timing_workspace_A.
      6  0xFFFF8D2C  ign_ext_workspace_B                  Ignition/knock extended workspace B (GBR base). Timing calculation chain.
      6  0xFFFF8E38  knock_level_accum                    Knock intensity/level accumulator. Near fuel_mode_flags.
      6  0xFFFF8EC7  sched_control_secondary              Secondary scheduler control (GBR base). Adjacent to sched_control_GBR.                                  
      6  0xFFFF8EF8  cl_readiness_state                   Closed-loop readiness state variable. Near cl_readiness_A_input.
      6  0xFFFF9358  sched_event_counter                  Scheduler event/task counter (GBR base). Scheduler region.
      6  0xFFFF9FE2  sched_timer_fractional               Scheduler timer fractional field. Adjacent to sched_timer_extended_A (+2).
      6  0xFFFFB6CC  stack_scratch_var                    Stack area scratch variable. Part of stack canary cluster.
      5  0xFFFF20A0  system_state_cluster_base             System state cluster base (0xFFFF20A0-0xFFFF227C, 88 addresses).
      5  0xFFFF2368  evap_workspace_base                  EVAP diagnostic workspace base (floats + counters).
      5  0xFFFF2D38  system_state_timer_A                 System state timer counter A. Extended system_state region.
      5  0xFFFF2D40  system_state_timer_B                 System state timer counter B. Adjacent to timer_A (+8).
      5  0xFFFF341A  cal_mirrors_cluster_base             Cal mirrors region start (0xFFFF341A-0xFFFF3612, 152 addresses).
      5  0xFFFF3654  cal_mirror_cache_A                   Calibration mirror workspace/cache A. Cal mirrors region.
      5  0xFFFF3668  cal_mirror_cache_B                   Calibration mirror workspace/cache B. Cal mirrors region.
      5  0xFFFF366E  io_output_packed                     I/O output register packed status (word). Timing/output values.
      5  0xFFFF3C88  cal_mirror_sync_timer_A              Cal mirror sync timer A. Near cal_mirror_timer_workspace (+8).
      5  0xFFFF3C90  knock_status_shadow                  Knock status shadow/mirror (copy from 0xFFFF81AC). Knock detector.
      5  0xFFFF3C98  cal_descriptor_ptr_ws                Calibration descriptor pointer workspace. Links to ROM tables.
      5  0xFFFF447C  atu_timer_period                     ATU timer period/register (word). ATU hardware setup.
      5  0xFFFF5F94  sensor_burst_buf_0                   Sensor data burst buffer byte 0. Consecutive 6-byte buffer.
      5  0xFFFF5F95  sensor_burst_buf_1                   Sensor data burst buffer byte 1.
      5  0xFFFF5F97  sensor_burst_buf_3                   Sensor data burst buffer byte 3.
      5  0xFFFF5F98  sensor_burst_buf_4                   Sensor data burst buffer byte 4.
      5  0xFFFF5F99  sensor_burst_buf_5                   Sensor data burst buffer byte 5.


FULL ALPHABETICAL INDEX (named addresses only)
--------------------------------------------------------------------------------------------------------------
  accel_state                               0xFFFF65BF    20 refs  Acceleration state flag (task50 map switching). Was warmup_transition_flag_B.
  adc_channel_status                        0xFFFF6155    36 refs  36 refs. ADC channel status/index (byte)
  adc_conditioning_ws_A                     0xFFFF6134     6 refs  ADC conditioning workspace A (GBR base)
  adc_conditioning_ws_B                     0xFFFF613C     6 refs  ADC conditioning workspace B (GBR base)
  adc_processed_alt                         0xFFFF61AC    17 refs  ADC processed alternate channel
  adc_processed_misc                        0xFFFF682C    22 refs  ADC processed miscellaneous sensor value
  adc_processed_secondary                   0xFFFF6430    19 refs  ADC processed secondary sensor value
  adc_processed_temp                        0xFFFF6598     8 refs  ADC processed intermediate sensor value (float)
  afr_lambda_workspace                      0xFFFF4254     9 refs  O2/AFR lambda workspace (float)
  afc_aggregator_output                     0xFFFF7904     0 refs  AFC final correction output (float).
  afc_axis_val_A                            0xFFFF78B0     0 refs  AFC additional axis value A (float). Inp
  afc_clamped_output                        0xFFFF7820     0 refs  AFC clamped output (float). Stage 8 outp
  afc_enable_flag_A                         0xFFFF8E7E    17 refs  PI output enable flag A (byte). Must == 
  afc_i_2d_out                              0xFFFF7844     0 refs  AFC I-component 2D output (float). Writt
  afc_i_accum                               0xFFFF7818     0 refs  AFC I-term accumulator. Winds up/down by
  afc_i_load_out                            0xFFFF7848     0 refs  AFC I-gain by load output (float). Writt
  afc_i_norm_out                            0xFFFF7850     0 refs  AFC I normalizer output (float). Written
  afc_i_rpm_out                             0xFFFF784C     0 refs  AFC I-gain by RPM output (float). Writte
  afc_i_total                               0xFFFF7808     0 refs  AFC I_total = (I_2d + I_load + I_rpm) * 
  afc_output                                0xFFFF77C8    19 refs  19 refs. AFC output value. Referenced in
  afc_p_load_out                            0xFFFF7838     0 refs  AFC P-gain by load output (float). Writt
  afc_p_norm_out                            0xFFFF7840     0 refs  AFC P normalizer output (float). Written
  afc_p_rpm_out                             0xFFFF783C     0 refs  AFC P-gain by RPM output (float). Writte
  afc_p_term                                0xFFFF7814     0 refs  AFC P-term output. Error value when |err
  afc_p_total                               0xFFFF7804     0 refs  AFC P_total = (P_load + P_rpm) * P_norm.
  afc_pi_blend_out                          0xFFFF7810     0 refs  AFC final blend = P_total*alpha + I_tota
  afc_pi_blended_output                     0xFFFF7870     2 refs  AFC PI blended output (float). Stage 5 o
  afc_pipeline_result                       0xFFFF781C     0 refs  AFC pipeline result (float). Stage 7 out
  afc_prev_state                            0xFFFF7865     0 refs  AFC previous-cycle state (GBR+0x9D). Tra
  afc_state1_flag                           0xFFFF782A     0 refs  AFC state-1 flag (GBR+0x62). Set to 1 on
  afl_2d_correction                         0xFFFF7ABC     0 refs  AFL 2D correction value (float). Compute
  afl_airflow_range_idx                     0xFFFF787F     4 refs  Current A/F Learning airflow range index
  afl_counter_1                             0xFFFF7ADD     0 refs  AFL counter 1 (byte). Checked >= 2 in su
  afl_counter_2                             0xFFFF7ADE     0 refs  AFL counter 2 (byte). Checked >= 2 in su
  afl_diagnostic_flag                       0xFFFF3158    18 refs  AFL state / diagnostic flag. Checked by 
  afl_engine_status_copy                    0xFFFF7AD2     0 refs  Copy of engine_status_flag (FFFF7C68) fo
  afl_interp_primary                        0xFFFF31AC     0 refs  AFL primary interpolated output (float).
  afl_interp_secondary                      0xFFFF31A4     0 refs  AFL secondary interpolated output (float
  afl_master_enable                         0xFFFF7ADC     0 refs  AFL master enable flag (byte). Set=1 by 
  afl_multiplier_output                     0xFFFF7AB4     0 refs  AFL multiplier output (float). Written b
  afl_output_struct                         0xFFFF78A0     0 refs  A/F Learning output data structure base 
  afl_ramp_flag_A                           0xFFFF7AD1     0 refs  AFL ramp flag A. Controls immediate 1.0 
  afl_ramp_flag_B                           0xFFFF7AD3     0 refs  AFL ramp flag B. Controls immediate path
  afl_ramp_multiplier                       0xFFFF7AC0     0 refs  AFL ramp multiplier (float, 0.0-1.0). Wr
  afl_range0_value                          0xFFFF316C     0 refs  AFL Range 0 learning value (float). Idle
  afl_range1_value                          0xFFFF3174     0 refs  AFL Range 1 learning value (float). Ligh
  afl_range2_value                          0xFFFF317C     0 refs  AFL Range 2 learning value (float). Norm
  afl_range3_value                          0xFFFF3184     0 refs  AFL Range 3 learning value (float). Heav
  afl_transient_copy                        0xFFFF7AD0     0 refs  Copy of transient_state_flag (FFFF726C) 
  afl_working_struct                        0xFFFF7AD8     0 refs  AFL computation workspace struct. R13 ba
  afr_deviation_input                       0xFFFF7BAC     0 refs  Input value passed to afr_deviation_clam
  afr_deviation_metric                      0xFFFF7BA8     0 refs  AFR deviation metric (float). Written by
  afr_deviation_output_base                 0xFFFF7BC0     0 refs  AFR deviation output struct base (RAM). 
  afr_fault_counter                         0xFFFF7BB2     0 refs  AFR fault counter (word). Incremented by
  afr_fault_flag                            0xFFFF7BB0     0 refs  AFR/sensor fault flag (byte). Checked by
  afr_init_flag_A                           0xFFFF7BB8     0 refs  AFR deviation init flag A (byte). Set by
  afr_init_flag_B                           0xFFFF7BB9     0 refs  AFR deviation init flag B (byte). Set by
  afr_init_flag_C                           0xFFFF7BBA     0 refs  AFR deviation init flag C (byte). Set by
  afr_init_flag_D                           0xFFFF7BBB     0 refs  AFR deviation init flag D (byte). Set by
  afr_init_flag_E                           0xFFFF7BBC     0 refs  AFR deviation init flag E (byte). Set by
  aggregator_struct_base                    0xFFFF7828     0 refs  Major struct base for fuel aggregation (
  airflow_maf_current                       0xFFFF620C    43 refs  Current MAF/airflow (float). Used by acc
  alt_blend_ratio                           0xFFFF7F1C     0 refs  Alternative blend ratio (task50).
  atm_blend_correction                      0xFFFF7F6C     0 refs  Atmospheric correction (task33).
  ect_startup                               0xFFFF6364    48 refs  ECT at engine start or secondary RPM (float). NOT atmospheric pressure. Was mislabeled atm_pressure.
  atm_pressure_current                      0xFFFF67EC    99 refs  99 refs. Atmospheric/barometric pressure
  atu_counter_threshold                     0xFFFF4124     0 refs  ATU counter/threshold channel. Used by I
  atu_timer_period                          0xFFFF447C     5 refs  ATU timer period/register (word)
  atu_interp_float_state                    0xFFFF8DA0     0 refs  Per-channel float state for crank-angle 
  atu_lower_threshold                       0xFFFF8DAC     0 refs  ATU lower threshold array (2×uint16). Co
  ATU_output_ctrl                           0xFFFF40E0     0 refs  ATU output control register. 5 refs — in
  atu_output_timing_chA                     0xFFFF4118     0 refs  ATU output timing channel A (float). Wri
  atu_output_timing_chB                     0xFFFF4120     0 refs  ATU output timing channel B. Written by 
  atu_output_timing_chC                     0xFFFF44BC     0 refs  ATU output timing channel C. Written by 
  atu_output_timing_chD                     0xFFFF44C0     0 refs  ATU output timing channel D. Written by 
  ATU_primary_ctrl                          0xFFFF4024    56 refs  ATU primary control register. 36 code re
  atu_upper_threshold                       0xFFFF8DA8     0 refs  ATU upper threshold array (2×uint16). Co
  baro_correction_factor                    0xFFFF4138     0 refs  Atmospheric / Baro correction factor (fl
  barometric_pressure                       0xFFFF63FC     0 refs  Barometric/atmospheric pressure (float).
  base_fuel_map_output                      0xFFFF73AC     0 refs  Base fuel map output (float).
  base_fuel_table_output                    0xFFFF7400     0 refs  Base fuel table output (float).
  base_timing_offset                        0xFFFF8000     0 refs  Base timing reference (task50). Was gbr_base_percond_ws.
